ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-18 07:00:00,88.35479816627561,-42.54411885248503,113.32268883441883,78.51967091268158,99.03567703070635,-56.11519101345068,-56.11519101345068,-56.11519101345068,-4.5228260789134485,-4.5228260789134485,-4.5228260789134485,-5.792389487188254,-5.792389487188254,-5.792389487188254,-45.799975447348984,-45.799975447348984,-45.799975447348984,0.0,0.0,0.0,32.23960715282493
2025-08-18 08:00:00,88.34926810620821,-50.757313580723434,120.85848231388447,78.51350186131143,99.03117906961721,-51.28399911221657,-51.28399911221657,-51.28399911221657,-0.26460209723397377,-0.26460209723397377,-0.26460209723397377,-5.366833774406624,-5.366833774406624,-5.366833774406624,-45.65256324057597,-45.65256324057597,-45.65256324057597,0.0,0.0,0.0,37.065268993991644
2025-08-18 09:00:00,88.34373804614084,-32.1204062971999,125.72847262494685,78.5073328099413,99.0266811085281,-44.457001040777634,-44.457001040777634,-44.457001040777634,5.9766905163452515,5.9766905163452515,5.9766905163452515,-4.927870111891048,-4.927870111891048,-4.927870111891048,-45.50582144523184,-45.50582144523184,-45.50582144523184,0.0,0.0,0.0,43.88673700536321
2025-08-18 10:00:00,88.33820798607341,-37.66626346251755,121.96187055388263,78.50116375857112,99.02218314743894,-40.71030253736402,-40.71030253736402,-40.71030253736402,9.129375332703102,9.129375332703102,9.129375332703102,-4.479923488293879,-4.479923488293879,-4.479923488293879,-45.35975438177325,-45.35975438177325,-45.35975438177325,0.0,0.0,0.0,47.62790544870939
2025-08-18 11:00:00,88.33267792600601,-39.352986613102644,124.30063470141623,78.49499470720097,99.0176851863498,-42.756373412693755,-42.756373412693755,-42.756373412693755,6.485390333301549,6.485390333301549,6.485390333301549,-4.027397400109948,-4.027397400109948,-4.027397400109948,-45.214366345885345,-45.214366345885345,-45.214366345885345,0.0,0.0,0.0,45.57630451331226
2025-08-18 12:00:00,88.32714786593866,-42.977877051614335,120.7420110361005,78.48882565583087,99.01318722526067,-48.98370679174536,-48.98370679174536,-48.98370679174536,-0.33941999976715065,-0.33941999976715065,-0.33941999976715065,-3.574625183725667,-3.574625183725667,-3.574625183725667,-45.06966160825255,-45.06966160825255,-45.06966160825255,0.0,0.0,0.0,39.343441074193294
2025-08-18 13:00:00,88.32161780587126,-48.242420729112126,113.99550935727642,78.48265660446073,99.00868926417152,-55.51193423596928,-55.51193423596928,-55.51193423596928,-7.460467103285013,-7.460467103285013,-7.460467103285013,-3.125822718244043,-3.125822718244043,-3.125822718244043,-44.92564441444023,-44.92564441444023,-44.92564441444023,0.0,0.0,0.0,32.80968356990198
2025-08-18 14:00:00,88.31608774580386,-56.66055340392234,109.32275905706763,78.47648755309056,99.0041913030824,-60.05074289320181,-60.05074289320181,-60.05074289320181,-12.583380855008347,-12.583380855008347,-12.583380855008347,-2.685043053585694,-2.685043053585694,-2.685043053585694,-44.782318984607755,-44.782318984607755,-44.782318984607755,0.0,0.0,0.0,28.26534485260205
2025-08-18 15:00:00,88.31055768573648,-55.73698107207255,103.44149727275611,78.47031850172044,98.99969334199328,-63.589047820342415,-63.589047820342415,-63.589047820342415,-16.693224814021022,-16.693224814021022,-16.693224814021022,-2.256133493026931,-2.256133493026931,-2.256133493026931,-44.639689513294456,-44.639689513294456,-44.639689513294456,0.0,0.0,0.0,24.72150986539407
2025-08-18 16:00:00,88.30502762566908,-63.81068334919577,100.66235858471751,78.46414945035029,98.99519538090414,-68.23222369857088,-68.23222369857088,-68.23222369857088,-21.891767903137385,-21.891767903137385,-21.891767903137385,-1.8426956261958969,-1.8426956261958969,-1.8426956261958969,-44.4977601692376,-44.4977601692376,-44.4977601692376,0.0,0.0,0.0,20.072803927098207
