Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2025-07-15,36.56044099180899,31.541416867279565,27.26211979693042,23.95681488144166,19.62576584823458,13.590799072794724,8.280487804325276,7.249769414715033,11.438497582298552,17.588953226890396,20.632299168775177,17.86341377190793,10.901001956820835,3.632482583250521,-1.6448020474255003,-5.912748049995912,-11.269938738012513,-17.28068269319826,-19.884021606430608,-14.448348674301002,-0.3297795622632691,17.477007917221982,31.46197415316162,36.903946707452235
2025-07-16,34.71166151215354,29.50549429370632,25.090238118788832,21.700027040423237,17.334281743620352,11.313297077740657,6.063458589454399,5.13690039610924,9.470105721666059,15.801473229816239,19.057833353187775,16.52934903347601,9.829698336219252,2.841036975034342,-2.144714520547126,-6.114953513731905,-11.173764469014003,-16.890878080463068,-19.210601852785317,-13.506363938631608,0.8609867658550172,18.892407200256557,33.073921245887945,38.68090317558001
2025-07-17,36.6191663388048,31.506734448661632,27.14665087014731,23.77192546263538,19.381494590072904,13.295814003634405,7.9420716520871935,6.873832812854758,11.029619058756708,17.150444473025928,20.166293734078735,17.370976990487193,10.382259610616998,3.0867655491489785,-2.2188001439035077,-6.516803324024565,-11.906122960227592,-17.951185991778303,-20.59097535177291,-15.193651918251007,-1.11493234910985,16.651061185079755,30.594988252137014,35.99650321196221
2025-07-18,33.76527792501493,28.522712385214874,24.07468951734556,20.656474444897952,16.26863452328439,10.232600407046206,4.9758556838044115,4.051567829328988,8.397162232613297,14.751862842812201,18.043184049653675,15.561808610632752,8.92174946660775,2.0052938343847018,-2.89572536785586,-6.769024988468715,-11.719250383955995,-17.31694063651564,-19.507461623942675,-13.665548630840561,0.8463985710531574,19.027551102997236,33.361924658679186,39.122679186702115
2025-07-19,37.21322734153577,32.24902887423647,28.030426126674243,24.787619897511277,20.516660972857593,14.53507665904526,9.267118980689574,8.263446516357448,12.459740928064605,18.594281146971085,21.59445934461624,18.75167313634435,11.681491613184306,4.268593467383937,-1.191977727231702,-5.683935182241683,-11.307163625936568,-17.626729936932193,-20.58187055605049,-15.54059675636367,-1.8580600027042777,15.472606355372662,28.943477765593855,33.836050223079965
2025-07-20,31.062256874090224,25.24616773357657,20.19672880000273,16.152640983498074,11.118255295882406,4.419104792673792,-1.5129389300350198,-3.1200716182763557,0.539977500726593,6.211443277906,8.826970960329902,5.682446559546676,-1.6028903842233149,-9.141552721527106,-14.636584699560913,-19.070707731304637,-24.54374874548114,-30.62165378009111,-33.2454676471297,-27.785920835000866,-13.601766084859037,4.309418776287785,18.43446999881624,24.048907188622934
2025-07-21,22.0580158085328,17.078620376437456,12.911903775437835,9.788372136831669,5.703840725728568,-0.02493975811066207,-4.9750297863189274,-5.5976085859484925,-0.9593417544160303,5.675213890686791,9.23015214025402,6.993140057054873,0.5756187538844983,-6.1422198375953485,-10.870135555999482,-14.596916526161607,-19.427746210197753,-24.93316434773095,-27.058003199006208,-21.175940739136337,-6.647813581661609,11.52759354982436,25.836789950865253,31.55584081317673
2025-07-22,29.591432102339297,24.562616188665842,20.273594039187444,16.958633942523676,12.618002816482033,6.573530228705707,1.253792621806042,0.2137305627774424,4.393200926192705,10.534487829190624,13.5687572896245,10.790890870412383,3.819596690893434,-3.4577031901339694,-8.743663272317875,-13.020176471600365,-18.38582290316218,-24.404907951120535,-27.016470110153634,-21.58889938037558,-7.478308233229868,10.320628710651746,24.297875034391154,29.732261486189486
2025-07-23,27.53252718611712,22.319051045487612,17.896629313118865,14.499399221478768,10.126784632009006,4.0990835673674155,-1.1573152559046491,-2.090274553932119,2.236692059563353,8.56198640679402,11.812442074745306,9.278225154889768,2.5730168581625037,-4.421023961780378,-9.411973639605762,-13.387226408860954,-18.450863609327627,-24.17261281612413,-26.49677842088957,-20.79678546944615,-6.433479757257899,11.594098749311996,25.771977018994164,31.375532405121533
2025-07-24,29.310581330528535,24.195150574457244,19.832286560284885,16.45500219771641,12.062236894013523,5.974449434718835,0.61883079480981,-0.4510507304792668,3.703329440393361,9.822988390640361,12.837913789361082,10.04191876650107,3.0527716621720202,-4.242900606801271,-9.548390039186344,-13.846059547973809,-19.234785171076922,-25.278990926975794,-27.917656838752436,-22.518940885762234,-8.438556837962892,9.32937601028273,23.27552009153422,28.67953261867804
2025-07-25,26.451088292937115,21.211589937308645,16.766923292401074,13.352356285845346,8.968459063815203,2.936665058832844,-2.3155393767196415,-3.2349840155387284,1.1157592690939993,7.475917150417558,10.773006728315593,8.297713456227427,1.6640529567659144,-5.245684886361559,-10.139664502206344,-14.005600101981145,-18.948134419655972,-24.5378039302786,-26.719971920044827,-20.869371097373346,-6.348398674253133,11.842119015139886,26.18620019140161,31.957007316591145
2025-07-26,30.057955538392335,25.1045070866153,20.897006764359332,17.66565781425861,13.406513449485956,7.43710338541797,2.1816820384490256,1.1909103609693261,5.400472370891606,11.548649336719492,14.562835749553201,11.73443152526535,4.6790080370050475,-2.718753759900082,-8.163808047522465,-12.639865812648864,-18.24680957812967,-24.549704036619175,-27.48778346271149,-22.42905698326065,-8.728673937021696,8.620234432727571,22.109745658954907,27.021357802096105
2025-07-27,24.267006052630677,18.470762449104186,13.441574992396312,9.418146574011885,4.404830165081137,-2.2728392398384045,-8.18298812811463,-9.767810350861069,-6.085033262149651,-0.39042016064402674,2.2486760298050825,-0.8718568734288681,-8.132777546274639,-15.64659707849674,-21.11635797924079,-25.524779946394645,-30.97168821693441,-37.023027160081526,-39.6198399426945,-34.13285543155577,-19.920824770112716,-1.9813242110140976,12.172484045795002,17.816121132490835
2025-07-28,15.85487401342671,10.905568683873383,6.769389479732084,3.6768439603656873,-0.3762512056109415,-6.073143940117859,-10.99089336133018,-11.58067736799535,-6.909160254889542,-0.2408975609645978,3.3482057557292535,1.145817984623335,-5.236618560677599,-11.91891077381004,-16.610817344604712,-20.30112527518962,-25.09501693123036,-30.56303098210566,-32.64999864464886,-26.729596877192904,-12.1626613011599,6.052024321749613,20.400970224495055,26.160242508670976
2025-07-29,24.236528022733324,19.248879992314173,15.001500213041936,11.728657774362304,7.430620367519964,1.4292183059770593,-3.8469712491232,-4.8430070405482155,-0.6190315311549455,5.567240031123177,8.646974270748444,5.915053329256082,-1.0098141237086509,-8.240205506935922,-13.478774826607491,-17.707414533160815,-23.02470430496213,-28.994949117690595,-31.55718708685255,-26.07980786130345,-11.91892359154248,5.9307913978180835,19.959300951224662,25.44543605308884
2025-07-30,23.29793603002409,18.13717996919962,13.767964268354007,10.424426278052707,6.105989949160545,0.13295336323332663,-5.068294731679245,-5.945617051441928,-1.5625272384461368,4.8193764713332,8.126927576869107,5.650292051981808,-0.9968490398702272,-7.9323370218784675,-12.864248436139064,-16.77997775295981,-21.783606578921436,-27.44486278578937,-29.708051092297012,-23.946596900823863,-9.521346393662938,8.568660045686727,22.8094489389253,28.476397162181172
2025-07-31,26.475320631014682,21.424245586784863,17.12621788529728,13.814249838044447,9.487280223912208,3.465767170107128,-1.8230990383194552,-2.8257508243822116,1.3963356433732486,7.584176668070697,10.66775910925729,7.940895255372155,1.0213525757774136,-6.20424291418459,-11.439184145118887,-15.665834992121532,-20.983072485630444,-26.95532166743203,-29.52156361354153,-24.049957387155686,-9.896217872351073,7.9455344919563515,21.965960963842775,27.444717550788013
2025-08-01,25.291477718778197,20.127643025049906,15.759097914250262,12.421108987505349,8.114245034519712,2.1599381012958645,-3.0143268770722074,-3.8553811203221784,0.5742020209695369,7.0136477127416015,10.390471517025176,7.995357320029413,1.4423191466928955,-5.386354746884649,-10.198830447160375,-13.982823853168327,-18.84297941569494,-24.34983535729623,-26.448756740800846,-20.51447808136227,-5.9093984273702205,12.36565401988662,26.79469558885792,32.650886813097884
2025-08-02,30.837640886906513,25.970418056408576,21.849561110454815,18.705271249824662,14.533599615389647,8.652073821827216,3.4849461549500944,2.582875408015454,6.8815434106911795,13.119229214476363,16.223325064155375,13.485228601191508,6.520508895170835,-0.7861554306163185,-6.139720918952847,-10.523900945416315,-16.038580450348576,-22.248826572383763,-25.093876059641104,-19.94174054114542,-6.147571885735559,11.295496105177563,24.879538379015287,29.88605038233068
2025-08-03,27.226964664498354,21.526350595233353,16.593153479368098,12.666073484004912,7.749460829962004,1.1688477337564223,-4.64389509718761,-6.13096434657804,-2.350090226841516,3.442961077561776,6.1808337304816945,3.1594126103837397,-4.0020639236636555,-11.416109953123666,-16.785771004443603,-21.093769819496842,-26.439934704712385,-32.390213124703195,-34.88565136731553,-29.296981446116902,-14.982957676510324,3.0588404914862224,17.315247635408085,23.06178163994086
2025-08-04,21.203726196983084,16.357904004781773,12.325496077054765,9.337006627153585,5.388248952903666,-0.2040282625507217,-5.016887556384248,-5.501510269954352,-0.7245641650272603,6.0493917292944275,9.744448941134536,7.648272223007339,1.3723003275939476,-5.203277221625228,-9.788222720538158,-13.371326800409165,-18.057775478981654,-23.418111098835226,-25.397168573191337,-19.36862857884158,-4.693330477247002,13.629938207783937,28.087683925036316,33.95596897295921
2025-08-05,32.14147637185438,27.263255500835825,23.125504286786978,19.96248793048801,15.774470213372155,9.883277518800668,4.717483057738363,3.8320241171491887,8.16675424385403,14.463954180020352,17.65478652073992,15.034129358769988,8.220687295897562,1.101878826314561,-4.024954161503402,-8.141708242515662,-13.346967237615445,-19.205040283320713,-21.654969673875186,-16.065149255114477,-1.791695391680264,16.170713359948394,30.312036595180913,35.91110103237534
2025-08-06,33.87664171527791,28.82903343158729,24.57306826269128,21.34287922734822,17.137885927447186,11.278382080882096,6.190752055767021,5.427128740883248,9.92399408375806,16.41974542235198,19.841211815772198,17.478554782742094,10.945450917543809,4.1240544134930275,-0.6937157689567357,-4.495258611241837,-9.384660244681555,-14.931653079035527,-17.08054638404812,-11.20477012618305,3.3348249354637858,21.53919382864939,35.89435847330485,41.675691132596334
2025-08-07,39.78900309681691,34.85231597077937,30.668670962272344,27.471075723681594,23.258464364040407,17.351290329819506,12.176739215131704,11.28837389573171,15.624713491703503,21.92676958587178,25.124524306853203,22.511785203415926,15.706314996802902,8.594734943604507,3.4737473483044425,-0.6390164388944299,-5.842438230895155,-11.70094786033826,-14.15353120054769,-8.56835212032476,5.6988696835978345,23.654008953166468,37.7877221200539,43.37966035947091
2025-08-08,41.33949229867077,36.288614650289006,32.03290700865725,28.807631119061114,24.613350910303893,18.771493562320657,13.709539139583597,12.980651547231005,17.52225255535602,24.073562446244495,27.562091895177545,25.27851989750509,18.836855584501293,12.119382315359829,7.417929104005054,3.744775149399061,-1.0047289036245814,-6.401126183579279,-8.389786662210781,-2.3454497633799463,12.369480553418683,30.75417117506106,45.29263351739551,51.258023201244214
2025-08-09,49.55374850753761,44.795264769013976,40.782909861819164,37.74688007421821,33.6832216356339,27.90945724930026,22.849834292847405,22.05500665115433,26.46065124798274,32.8050422309512,36.015566943226034,33.383618127196854,26.524759956186372,19.323666160622167,14.075375307563732,9.796169135351278,4.386157821235784,-1.7197306515182191,-4.460737905322645,0.7951195618671107,14.692685016633561,32.23881979819362,45.92559400008858,51.03449822059076
2025-08-10,48.477460166888484,42.87854437208333,38.04669131157496,34.2205963291952,29.404604829515563,22.924244219911557,17.211380406568367,15.823811911571042,19.703803736471258,25.595584919060627,28.43179485451705,25.508313660050163,18.444374943295003,11.12745988116771,5.854518212699517,1.6428224743294493,-3.607460353911492,-9.46228243939602,-11.862694762634135,-6.179434018579954,8.228740806800616,26.36424560402193,40.71391030283546,46.553248151901315
2025-08-11,44.78753821930217,40.0335985912929,36.092605682680386,33.19505912031363,29.3367676286134,23.83447533053537,19.111115142848405,18.715501190974464,23.58096119462182,30.442931620265995,34.22549950617247,32.216325129759994,26.026842783544055,19.537237546619465,15.037742693636872,11.539563179462007,6.937508589488175,1.6610321998459057,-0.23470526749154885,5.876611163035747,20.6341377989027,39.03908280246472,53.57794832674347,59.52679239143139
2025-08-12,57.79229375652592,52.99349755891794,48.934597501732014,45.849854580464914,41.739528390475925,35.92544114834833,30.836161917121657,30.026623855939647,34.43667640353539,40.80859621429266,44.073541815247864,41.52638725254869,34.78583310166958,27.73929385160828,22.684107406892977,18.638373230290213,13.503503560331112,7.715185341477195,5.334372383400108,10.992666966077593,25.333948873400928,43.36353572024228,57.571383296871666,63.23631453918092
2025-08-13,61.267060732632594,56.28399292999502,52.09189950188632,48.92490978029847,44.78243970492639,38.984779356381935,33.95830948976105,33.255159406291085,37.81180749118181,44.36664754563364,47.84650511725692,45.5415382400407,39.065420048921084,32.30030130450555,27.538097560975743,23.79140645772054,18.956138510781358,13.462557985002618,11.366352312886562,17.294088257573307,31.884911817314574,50.139774805122805,64.5446959548703,70.3750443712843
2025-08-14,68.53662821533366,63.64746599107696,59.51059583454877,56.359022355381384,52.19167664927914,46.32900917921899,41.198202584940496,40.35281681815991,44.73136810488328,51.074865164277554,54.31328729124286,51.740439232228866,44.974080936553804,37.9008309198195,32.81738877685994,28.741383179771276,23.573929668218028,17.75059579485678,15.332393103366769,20.951155172757183,35.25115978930303,53.23827920648403,67.40316740253978,73.02547313142657
2025-08-15,71.01486263181916,65.99273026127176,61.76495329143068,58.56679117913378,54.39880559768806,48.58242150538082,43.54511677885793,42.84005316950036,47.40465032760226,53.97812645003891,57.487990161108435,55.224918439684416,48.80291843549561,42.10427156063915,37.42080491763468,33.76479582837415,29.031593096458636,23.650651787409643,21.676600159180865,27.734697053027375,42.462536809644696,60.85928465595068,75.40895037792585,81.38468800681017
2025-08-16,79.68990426940911,74.94005298023356,70.93547053441225,67.90635177573529,63.84874152580923,58.080161117056974,53.02485659328839,52.23348054307922,56.64170863063499,62.98781378177502,66.19918215523845,63.56720534657048,56.70744642015517,49.50457803485356,44.25363772472868,39.970906232367014,34.55649277793631,28.445324425639768,25.69815867239805,30.946978177631706,44.83662540421995,62.37396092595351,76.05105410966692,81.14939486577944
2025-08-17,78.58091025224397,72.96966419225114,68.12459658953216,64.28440225600386,59.453426103105144,52.95719508467014,47.227574691263655,45.822363070932546,49.68382488906481,55.5561888867365,58.37209420276579,55.42742073702191,48.34140191963527,41.00151878960703,35.70472098824537,31.46828099354707,26.192365767542626,20.31102316363051,17.883202263915464,23.538166474762647,37.917156951761456,56.02258976757934,70.34129507355536,76.1487863809221
2025-08-18,74.35034305999586,69.56278353977869,65.58728461812348,62.654346345118206,58.75977790899569,53.220323936658815,48.45891788940681,48.024374477602535,52.85002204635716,59.671297727824765,63.412289266855474,61.360657687525446,55.12783806984568,48.594016320744686,44.04942658332825,40.50527472137421,35.85637126978004,30.532170495121278,28.587834149173446,34.64967827944972,49.356860304760154,67.71058953911155,82.19736933062615,88.093258929928
2025-08-19,86.30493837164666,81.45145410736714,77.33700119412109,74.19584202353005,70.02823762646392,64.15601169559874,59.00773481056505,58.138341687454286,62.48768336241503,68.79803812705197,72.00056618677326,69.39014330550637,62.58547181731799,55.473968009683176,50.35297162582078,46.240584007296896,41.03821931133828,35.18156644146086,32.731581206096834,38.31986792390184,52.59030845721588,70.54822253958422,84.6835681190494,90.27517032959814
2025-08-20,88.23176269399363,83.17371854210839,78.90582856125562,75.66222443870528,71.44232451020653,65.56642129054312,60.460898009229766,59.67788647962525,64.1538676396509,70.62723788139117,74.0248253824871,71.63679084565453,65.07681011337294,58.227036692839356,53.37938892264748,49.54646726556963,44.62418509939892,39.042809589054485,36.858031105019464,42.69641938686516,57.197123447244174,75.36109815114716,89.67436532247632,95.41229719373408
2025-08-21,93.48070509124672,88.49761072158034,84.26605546115918,81.01904719682595,76.75552033878202,70.79592870138384,65.56745831314376,64.62367255062918,68.90309110169213,75.14672618391609,78.28456062693256,75.61040274850049,68.74201610405291,61.56602285356891,56.379126270268046,52.19895874106709,46.92663955599246,40.99774005366266,38.4732755983316,43.98508362597521,58.17744581366099,76.05623834108187,90.11211914676284,95.62474098183553
2025-08-22,93.50377411323882,88.37061696284903,84.03115090089695,80.72063951617933,76.43964864793311,70.50960745386351,65.35799804392516,64.53798643552847,68.98699657834479,75.44425100167786,78.83726269490664,76.45671303465596,69.91661360066428,63.09925026777437,58.29645463260138,54.52050854351986,49.666765362206206,44.16468474392644,42.0688995672244,48.004673325686035,62.60960504310527,80.88286466000264,95.30846670678663,101.15956998943261
2025-08-23,99.339586040053,94.46397350767344,90.33307365252432,87.17708621267519,82.99206093306013,77.09552409945336,71.91172673745949,70.99132644616581,75.27000392937,81.48603718021172,84.56681745297493,81.80374146719703,74.81237743844264,67.4774032044752,62.09386150543093,57.678038317238766,52.13004812006606,45.88482326450832,43.00312656083288,48.11694600754853,61.871129432664326,79.27254280061324,92.81326089490247,97.77477906726128
2025-08-24,95.06902984227676,89.32008263454614,84.33688286371256,80.35813088175935,75.38817716445527,68.75255425394529,62.88313325217936,61.33771794235305,65.05857864756132,70.78994979120247,73.46447621404408,70.37804354279662,63.14989095577466,55.66750526071405,50.22784189163955,45.84817913908941,40.428689799089476,34.40342757954889,31.831347438322894,37.34171867677507,51.575788368018586,69.53597851837722,83.70912523531067,89.37074800412998
2025-08-25,87.42613218870912,82.4921022303163,78.36984095746104,75.28985446899938,71.24795802001243,65.56090232228819,60.65162693861902,60.06895269861024,64.7462140833597,71.41885437756034,75.01096749467274,72.81022064397735,66.42805510596384,59.744663003715594,55.050284711592276,51.35613233984876,46.557022684182044,41.082416286239365,38.987481187444985,44.898539738334534,59.45475567429614,77.65734463915413,91.99281632411437,97.73723633500259
2025-08-26,95.79729107460503,90.7920333736732,86.52566468171686,83.23245379324659,78.91266815375894,72.88813788038742,67.58743998945533,66.56551564311377,70.76222233370373,76.91984481876753,79.96954977916683,77.20621946339105,70.24856269895272,62.98400227509351,57.709884445551396,53.44431706971769,48.08872083071888,42.078791165225,39.4754904219134,44.91042946615351,59.027496713837394,76.83201845782943,90.8139592115348,96.25215067988614
